/////////////////////
/// CORE ITEM DATA //
/////////////////////

//Start by parsing this in your map/dictionary to parse the other data.
//!! Odd ids are seeds, they are NOT included. Make dummy fillers if you want to, they contain no specific data whatsoever.
//ID|Item Name|Rarity|Properties|Category|Base Color|Overlay Color|Hits to break|Growtime in seconds|Clothing Type (None if its not a clothing, specified in category)

82|Green Skirt|11|NoSeed|Clothing|54CE4A|42AD39|0|1661|Pants
84|Green Blouse|14|NoSeed|Clothing|54CE4A|77DC6E|0|3164|Shirt
86|Purple Thong|24|NoSeed|Clothing|9327A5|C643DD|0|14544|Pants
88|Purple Bikini Top|22|NoSeed|Clothing|9327A5|C643DD|0|11308|Shirt
90|Blonde Bombshell|8|NoSeed|Clothing|F5C32B|F8D438|0|752|Hair
92|Briefcase|14|NoSeed|Clothing|383838|5D5D5D|0|3164|Hand
94|Sword|11|NoSeed|Clothing|E2E2E2|DCC456|0|1661|Hand
96|Just One Boxing Glove|16|NoSeed|Clothing|EF1617|E4E4E4|0|4576|Hand
98|Pickaxe|17|NoSeed|Clothing|7F592D|D9D9D9|0|5423|Hand
100|Wood Block|2|0|Foreground_Block|AE763A|F8C78E|3|68|None
102|Wooden Platform|4|0|Platform|83531F|F6C289|3|184|None
104|Rock Background|3|0|Background_Block|7E8184|919599|3|117|None
106|Toilet|7|MultiFacing|SFX_Foreground|C9CDCD|EAEDEC|10|553|None
108|Painting: Yerfdog|10|0|Background_Block|77CFE9|FFFFFF|3|1300|None
110|Painting: Dink Duck|10|0|Background_Block|596E48|ABBDC5|3|1300|None
112|Gems|999|NoSeed, Dropless|Gems|0FF647|6DAF79|3|3600|None
114|Disco Ball|45|Wrenchable|Toggleable_Foreground|FFFFFF|808080|10|92475|None
116|Bricks|3|0|Foreground_Block|BF621E|E8531F|5|117|None
118|Brick Background|7|0|Background_Block|5C3316|6E2D16|4|553|None
120|Mystery Block|80|NoSeed, Dropless|Treasure|FFCE0B|FFFBDF|3|514400|None
122|Red Riding Hood|7|NoSeed|Clothing|D72425|EE5656|0|553|Hat
124|Red Coat|13|NoSeed|Clothing|D82425|EE5656|0|2587|Shirt
126|Devil Horns|9|0|Consummable|FF0000|800000|2|999|None
128|Golden Halo|51|0|Consummable|FFFF00|FFFFFF|2|134181|None
130|Hot Head|5|NoSeed|Clothing|FF0000|FFFF00|0|275|Hair
132|Brainwave Capacitor|21|NoSeed|Clothing|FFCF0F|43EDF9|0|9891|Hat
134|TV Head|17|NoSeed, Foreground|Clothing|684F3A|70D5F0|0|5423|Hair
136|Fairy Crown|47|NoSeed|Clothing|9EDEE2|EC96EE|0|105233|Hat
138|Cyclopean Visor|10|NoSeed|Clothing|FFE381|FF1C0B|0|1300|Face
140|Biker Stache|6|NoSeed|Clothing|835131|644028|0|396|Face
142|Shallot Mustache|5|NoSeed|Clothing|565656|717171|0|275|Face
144|X-Ray Specs|8|NoSeed|Clothing|FFFFFF|FF7777|0|752|Face
146|Gold-Rimmed Glasses|12|NoSeed|Clothing|BCF1F6|F7C517|0|2088|Face
148|Big Glasses|16|NoSeed|Clothing|B8DBF0|3E5C6E|0|4576|Face
150|Fairy Dress|50|NoSeed|Clothing|9EDEE2|EC96EE|0|126500|Shirt
152|Fairy Skirt|48|NoSeed|Clothing|9EDEE2|EC96EE|0|112032|Pants
154|Fairy Slippers|51|NoSeed|Clothing|9EDEE2|EC96EE|0|134181|Feet
156|Fairy Wings|52|NoSeed|Clothing|9EDEE2|EC96EE|0|142168|Back
158|Fairy Wand|47|NoSeed|Clothing|9EDEE2|EC96EE|0|105233|Hand
160|Jetpack|36|NoSeed|Clothing|E4E4E4|FFB745|0|47736|Back
162|Death Spikes|8|0|Deadly_Block|CADDDE|EDF1F1|6|752|None
164|Grey Block|4|0|Foreground_Block|CCCCCC|DCDCDC|8|184|None
166|Black Block|4|0|Foreground_Block|262626|393939|8|184|None
168|White Block|6|0|Foreground_Block|F8F8F8|FFFFFF|8|396|None
170|Red Block|4|0|Foreground_Block|F9362D|FB645D|8|184|None
172|Orange Block|9|0|Foreground_Block|D77300|FE8B0C|8|999|None
174|Yellow Block|6|0|Foreground_Block|EDDA0F|F7EA61|8|396|None
176|Green Block|5|0|Foreground_Block|62B614|70D514|8|275|None
178|Aqua Block|5|0|Foreground_Block|14B796|14D6AE|8|275|None
180|Blue Block|15|0|Foreground_Block|3192FF|66B1FF|8|3825|None
182|Purple Block|19|0|Foreground_Block|C861FF|D88EFF|10|7429|None
184|Brown Block|4|0|Foreground_Block|A76C4B|BE9178|8|184|None
186|Steel Block|35|0|Foreground_Block|BCD9DA|D9F2F3|20|43925|None
188|Poppy|6|0|Foreground_Block|50AE26|F88312|3|396|None
190|Rose|3|0|Foreground_Block|50AE26|F92D2D|3|117|None
192|Bush|9|0|Foreground_Block|57C525|AEE957|3|999|None
194|Mushroom|3|0|Trampoline_Block|DCD9BE|B7B189|3|117|None
196|Blueberry|12|0|Consummable|2764CD|50AE26|3|2088|None
198|Flowery Wallpaper|7|0|Background_Block|EDDEEE|C5E3D0|3|553|None
200|Stripey Wallpaper|10|0|Background_Block|DFE8C0|C0D9E8|3|1300|None
202|Small Lock|999|Wrenchable, NoSeed, Permanent, AutoPickup|Lock|D9CB8B|E8DEAA|10|3600|None
204|Big Lock|999|Wrenchable, NoSeed, Permanent, AutoPickup|Lock|D9CB8B|E8DEAA|10|3600|None
206|Huge Lock|999|Wrenchable, NoSeed, Permanent, AutoPickup|Lock|D9CB8B|E8DEAA|10|3600|None
208|Burglar Mask|8|NoSeed|Clothing|2F2F2F|191919|0|752|Face
210|Referee Shirt|10|NoSeed|Clothing|2F2F2F|E6E6E6|0|1300|Shirt
212|Froghat|14|NoSeed|Clothing|7FDD17|ABF658|0|3164|Hat
214|Flashlight|10|NoSeed|Clothing|565656|FFFEE9|0|1300|Hand
216|Rooster Hat|12|NoSeed|Clothing|E8E8E8|FF2727|0|2088|Hat
218|Wooden Chair|11|MultiFacing|Foreground_Block|9A6B42|B27642|4|1661|None
220|Note Block|30|Wrenchable|Toggleable_Foreground|C5D7F4|F9FBFE|10|27900|None
222|Wooden Table|6|0|Platform|9A6B42|B27642|3|396|None
224|House Entrance|10|MultiFacing, Wrenchable|Gateway|9A6B42|FFD11D|5|1300|None
226|Signal Jammer|999|Wrenchable, Permanent, AutoPickup|Toggleable_Foreground|A0A0A0|DDDDDD|30|3600|None
228|Grow Spray Fertilizer|999|0|Consummable|9EEE84|D7F0F1|30|3600|None
230|Bathtub|13|MultiFacing|SFX_Foreground|FFFFFF|EBEBEB|15|2587|None
232|White Beard|15|NoSeed|Clothing|F7F7F7|FFFFFF|0|3825|Face
234|Santa Hat|10|NoSeed|Clothing|E34E47|EFEFEF|0|1300|Hat
236|Santa Pants|5|NoSeed|Clothing|E34E47|EFEFEF|0|275|Pants
238|Santa Vest|7|NoSeed|Clothing|FF5050|EFEFEF|0|553|Shirt
240|Sack O' Joy|75|NoSeed|Clothing|E34E47|EFEFEF|0|424125|Back
242|World Lock|999|Wrenchable, NoSeed, Permanent, AutoPickup|Lock|FFF115|D3980B|42|3600|None
244|UPDATE_STORE|999|NoSeed, Dropless, Mod|Foreground_Block|00EF1B|23ED0C|0|3600|None
246|Music Box|38|MultiFacing, Wrenchable|Toggleable_Foreground|FFF115|BCDEDE|10|56012|None
248|Evil Bricks|5|0|Animated_Foreground_Block|444444|F40000|6|275|None
250|Asbestos Boots|11|NoSeed|Clothing|FF2727|FFE32B|0|1661|Feet
252|Cuzco Wall Mount|18|0|Foreground_Block|5E442E|CFBFAA|3|6372|None
254|Robot Wants Dubstep|65|MultiFacing, Wrenchable|Toggleable_Foreground|867C66|9A8F78|10|276575|None
256|Saturday Night Vest|86|NoSeed|Clothing|E8E8E8|5A5A5A|0|638636|Shirt
258|White Bellbottoms|51|NoSeed|Clothing|E8E8E8|5A5A5A|0|134181|Pants
260|Golden Block|41|0|Foreground_Block|FFF115|FFFFFF|20|70151|None
262|Crystal Block|100|0|Foreground_Block|FFFFFF|00FFFF|15|1003000|None
264|Picket Fence|17|Foreground|Foreground_Block|F0F0EE|CECAC0|3|5423|None
266|Long Black Hair|20|NoSeed|Clothing|1B1B1B|616161|0|8600|Hair
268|Purple Mohawk|36|NoSeed|Clothing|C7179C|F737C8|0|47736|Hair
270|Messy Brown Hair|5|NoSeed|Clothing|6F5C3D|92784C|0|275|Hair
272|Long Brown Hair|8|NoSeed|Clothing|4E3B1A|775A2B|0|752|Hair
274|Freeze Wand|999|NoSeed, Dropless|Consummable|A09E64|B47469|20|3600|None
276|Fire Wand|999|NoSeed, Dropless|Consummable|6F3D71|B5954A|20|3600|None
278|Curse Wand|999|NoSeed, Dropless|Consummable|C97912|CC700E|20|3600|None
280|Bed|14|MultiFacing|Foreground_Block|9A6B42|7BC4D7|5|3164|None
282|Polka Dot Block|15|0|Foreground_Block|F8F8F8|ED7DA7|5|3825|None
284|Checker Wallpaper|11|0|Background_Block|525D4F|F8F8F8|3|1661|None
286|Fireplace|46|Wrenchable|Toggleable_Foreground|674B1B|FFA70F|6|98716|None
288|Snorkel|15|NoSeed|Clothing|3E8FDE|4A4A4A|0|3825|Face
290|Ninja Mask|44|NoSeed|Clothing|050505|1D1D1D|0|86504|Hair
292|Ninja Tights|59|NoSeed|Clothing|050505|1D1D1D|0|207149|Pants
294|Ninja Vest|55|NoSeed|Clothing|050505|1D1D1D|0|168025|Shirt
296|Ninja Slippers|44|NoSeed|Clothing|050505|1D1D1D|0|86504|Feet
298|The Darkness|40|0|Background_Block|000000|000000|3|65200|None
300|Rubber Ducky|23|MultiFacing|SFX_Foreground|FFCA15|F5A307|4|12857|None
302|Checkered Pajamas|25|NoSeed|Clothing|C9FFF2|85FBAE|0|16375|Shirt
304|Tie Dyed Shirt|26|NoSeed|Clothing|DE81B3|F57D5D|0|18356|Shirt
306|Rainbow Wig|74|NoSeed|Clothing|FFC34B|ED71FF|0|407444|Hair
308|Rainbow Block|28|0|Foreground_Block|FFC34B|ED71FF|5|22792|None
310|Monocle|44|NoSeed|Clothing|DBC457|A3E8EB|0|86504|Face
312|Pirate Hat|53|NoSeed|Clothing|4A5D70|C6C9CC|0|150467|Hat
314|Eyepatch|68|NoSeed|Clothing|000000|1E1E1E|0|316472|Face
316|Peg Leg|29|NoSeed|Clothing|8A6234|3B3B3B|0|25259|Feet
318|Diamond Ring|141|NoSeed|Clothing|FFE71D|DDEFEF|0|2807451|Hand
320|Cannon|50|MultiFacing|SFX_Foreground|3F3F3F|7D592F|4|126500|None
322|High Tech Wall|69|0|Background_Block|B1B1B1|C5C5C5|3|330579|None
324|High Tech Block|69|0|Foreground_Block|E8E8E8|FFFFFF|9|330579|None
326|Magic Bacon Wallpaper|38|0|Background_Block|F8E0FA|C45A3E|3|56012|None
328|Bubble Wrap|14|0|SFX_Background|8EB2CE|FFFFFF|4|3164|None
330|Cactus|17|0|Spike|98E13F|82D024|4|5423|None
332|Sandstone|18|0|Foreground_Block|E0DAAE|EEEBD0|3|6372|None
334|Art Wall|66|0|Toggleable_Background|E5C973|E092DD|10|289476|None
336|Stone Wall|5|0|Foreground_Block|645F50|CBCBCB|4|275|None
338|Das Red Balloon|18|0|Consummable|82090A|FF0000|2|6372|None
340|Chandelier|87|0|Animated_Foreground_Block|FFE015|F1F1ED|7|661113|None
342|Lovely Pink Dress|10|NoSeed|Clothing|F0BCEC|F7F5E3|0|1300|Shirt
344|Fishnet Stockings|79|NoSeed|Clothing|000000|000000|0|495409|Pants
346|Monster Feet|14|NoSeed|Clothing|2ED92D|E6E6E6|0|3164|Feet
348|Hoop Earrings|57|NoSeed|Clothing|FBD919|FFFF96|0|186903|Face
350|Heroman Cape|999|NoSeed, Mod|Clothing|C40F0C|FF342F|0|3600|Back
352|Lollipop|31|NoSeed|Clothing|FCEF96|F2B2EB|0|30721|Hand
354|Viking Helmet|9|NoSeed|Clothing|CDCDCD|D7CFB7|0|999|Hat
356|Pigtails|12|NoSeed|Clothing|EEC752|F0A2EC|0|2088|Hair
358|Cloudstone Block|28|0|Foreground_Block|60A2F4|E6FDFF|3|22792|None
360|Dreamstone Block|23|0|Foreground_Block|FF9900|FFFFFF|3|12857|None
362|Angel Wings|999|NoSeed, Dropless|Clothing|EFEFEF|FFFFFF|0|3600|Back
364|Diaper|999|NoSeed, Dropless|Clothing|CAC5B2|EEECE2|0|3600|Pants
366|Heartbow|999|NoSeed, Dropless|Clothing|F4E268|FF1207|0|3600|Hand
368|Mud Glob|4|0|Consummable|36281C|66472A|3|184|None
370|Cargo Shorts|3|NoSeed|Clothing|BEA962|A4904C|0|117|Pants
372|Stinky Socks|4|NoSeed|Clothing|E6E6E6|E4AFA0|0|184|Feet
374|Tan Shirt|4|NoSeed|Clothing|D5CC99|E4DCB2|0|184|Shirt
376|Super Crate Box|3|0|Foreground_Block|8E5423|76451D|3|117|None
378|Amber Glass|3|0|Background_Block|DFC96B|FFFFFF|2|117|None
380|Lava Rock|2|0|Foreground_Block|302B26|D0290E|4|68|None
382|Time-Space Rupture|79|Wrenchable, NoShadow|Portal|000000|C8C8C8|5|495409|None
384|Valentine|999|NoSeed, Dropless, NoSelf|Consummable|FA0B0C|FE7070|3|3600|None
386|Candy Heart|999|NoSeed, Dropless|Consummable|FA0B0C|FE7070|3|3600|None
388|Perfume|999|NoSeed, Dropless|Consummable|FA0B0C|FE7070|3|3600|None
390|Heartstone Block|999|NoSeed, Dropless|Foreground_Block|FA0B0C|FFFFFF|6|3600|None
392|Heartstone|100|NoSeed, Dropless|Foreground_Block|FF9900|FFFFFF|10|1003000|None
394|Ultra Trophy 3000|999|Permanent, AutoPickup|Foreground_Block|FFB007|CDCE0B|10|3600|None
396|Ultra Trophy 3001|999|Permanent|Foreground_Block|FFB007|CDCE0B|10|3600|None
398|Stove|71|MultiFacing, Wrenchable|Toggleable_Foreground|DFDFDF|C63536|7|360041|None
400|Spatula|88|NoSeed|Clothing|E7DED3|EBEBEB|0|684112|Hand
402|Apron|82|NoSeed|Clothing|FAFAFA|E9CDCD|0|553828|Shirt
404|Chef Hat|74|NoSeed|Clothing|C8C8C8|F0F0F0|0|407444|Hat
406|Blueberry Pie|83|0|Consummable|FF00FF|ECD692|3|574277|None
408|Duct Tape|999|NoSeed, Dropless|Consummable|69BB40|C9F204|20|3600|None
410|Checkpoint|42|0|Checkpoint|C9D400|F2FF0F|7|75348|None
412|Sheet Music: Blank|9|WorldLock|Sheet_Music|FFFFFF|000000|3|999|None
414|Sheet Music: Bass Note|24|WorldLock|Sheet_Music|FFFFFF|000000|3|14544|None
416|Sheet Music: Sharp Bass|32|WorldLock|Sheet_Music|FFFFFF|1B46B9|3|33728|None
418|Sheet Music: Flat Bass|25|WorldLock|Sheet_Music|FFFFFF|000000|3|16375|None
420|Sheet Music: Piano Note|14|WorldLock|Sheet_Music|FFFFFF|000000|3|3164|None
422|Sheet Music: Sharp Piano|22|WorldLock|Sheet_Music|FFFFFF|000000|3|11308|None
424|Sheet Music: Flat Piano|15|WorldLock|Sheet_Music|FFFFFF|000000|3|3825|None
426|Sheet Music: Drums|13|WorldLock|Sheet_Music|FFFFFF|000000|3|2587|None
428|Race Start Flag|22|0|Foreground_Block|FFF115|7DC0F8|5|11308|None
430|Race End Flag|33|0|Foreground_Block|686868|F4F4F4|5|36927|None
432|Blue Star Wallpaper|18|0|Background_Block|001394|FFE721|3|6372|None
434|Sandstone Wall|1|0|Background_Block|A59D57|C3BC81|3|31|None
436|Wall Like An Egyptian|22|0|Background_Block|A59D57|C3BC81|3|11308|None
438|Plumbing|18|0|Foreground_Block|2AA20E|44F519|4|6372|None
440|Ice|30|0|Slippery_Block|CDF8FA|FFFFFF|6|27900|None
442|Sand|1|0|Foreground_Block|E6D15A|FFFFDD|3|31|None
444|Fishbowl|40|0|Foreground_Block|BAEFF8|DAEC97|7|65200|None
446|Poodle Skirt|41|NoSeed|Clothing|FFBBBB|000000|0|70151|Pants
448|Backpack|17|NoSeed|Clothing|A28A48|857447|0|5423|Back
450|Space Helmet|82|NoSeed, Foreground|Clothing|E4E4E4|FFE221|0|553828|Hair
452|Plate Mail|51|NoSeed|Clothing|7C8E85|C0CAC5|0|134181|Shirt
454|Venus Guytrap|41|0|Deadly_Block|196F48|66E838|6|70151|None
456|Dice Block|70|Wrenchable|Random_Block|CDD8D6|5C7470|10|345100|None
458|Dresser|14|MultiFacing|Platform|6B4D33|9A6B42|5|3164|None
460|Table Lamp|24|Wrenchable|Toggleable_Foreground|C4DFE4|E1E433|6|14544|None
462|Fedora|83|NoSeed|Clothing|292929|5A5A5A|0|574277|Hat
464|Dame's Fedora|85|NoSeed|Clothing|292929|5A5A5A|0|616675|Hat
466|Pinstripe Suit|82|NoSeed|Clothing|616161|DD4A2D|0|553828|Shirt
468|Pinstripe Pants|89|NoSeed|Clothing|292929|5A5A5A|0|707639|Pants
470|Cigar|81|NoSeed|Clothing|896A3D|CC5842|0|533871|Face
472|Tommygun|87|NoSeed, NoSelf|Clothing|2B2B2B|5A4932|0|661113|Hand
474|Flapper Headband|82|NoSeed|Clothing|F6EC54|262626|0|553828|Hair
476|Flapper Dress|80|NoSeed|Clothing|A7321F|E33E23|0|514400|Shirt
478|Art Deco Block|83|0|Foreground_Block|414141|E5CE33|5|574277|None
480|Victrola|94|Wrenchable|Toggleable_Foreground|8E5A34|EACE42|6|833404|None
482|Big Old Sideways Arrow|13|MultiFacing|Foreground_Block|E13233|EC5E42|4|2587|None
484|Big Old Up Arrow|22|0|Foreground_Block|E13233|EC5E42|4|11308|None
486|Big Old Down Arrow|13|0|Foreground_Block|E13233|EC5E42|4|2587|None
488|Blue Wristband|34|NoSeed|Clothing|28AFDE|4BC4ED|0|40324|Hand
490|Blue Headband|73|NoSeed, Foreground|Clothing|28AFDE|4BC4ED|0|391207|Face
492|Red Sportsball Jersey|28|NoSeed|Clothing|D54A47|EFEFEF|0|22792|Shirt
494|Red Sweatpants|19|NoSeed|Clothing|D54A47|EFEFEF|0|7429|Pants
496|Air Robinsons|47|NoSeed|Clothing|E6E6E6|79D6F5|0|105233|Feet
498|Hippie Sandals|23|NoSeed|Clothing|87713F|B5964D|0|12857|Feet
500|Pastel Pants|4|NoSeed|Clothing|FFF4C9|FFE3FF|0|184|Pants
502|Pastel Suit|11|NoSeed|Clothing|FFF4C9|FFE3FF|0|1661|Shirt
504|Bunny Mask|8|NoSeed|Clothing|F1F1F1|F8C2F8|0|752|Face
506|Bunny Ears|16|NoSeed|Clothing|F1F1F1|F8C2F8|0|4576|Hat
508|Wicker Basket|16|NoSeed|Clothing|B0A688|6CE422|0|4576|Hand
510|Pastel Pink Block|5|0|Foreground_Block|F8D1EC|FFFFFF|8|275|None
512|Pastel Orange Block|10|0|Foreground_Block|F5DFC6|FFFFFF|8|1300|None
514|Pastel Yellow Block|7|0|Foreground_Block|F3F0B9|FFFFFF|8|553|None
516|Pastel Green Block|6|0|Foreground_Block|C5F2B2|FFFFFF|8|396|None
518|Pastel Aqua Block|6|0|Foreground_Block|B2F2E8|000000|8|396|None
520|Pastel Blue Block|16|0|Foreground_Block|CEDEF7|FFFFFF|8|4576|None
522|Pastel Purple Block|20|0|Foreground_Block|E7C6F5|FFFFFF|12|8600|None
524|Bunny Tail|10|NoSeed|Clothing|F1F1F1|F8C2F8|0|1300|Back
526|Pinball Bumper|53|0|Bouncy|FFE433|4BA7FF|7|150467|None
528|Lucky Clover|999|NoSeed, Dropless|Consummable|53B511|70F317|3|3600|None
530|Orange Beard|999|NoSeed, Dropless|Clothing|F3A309|DB800B|0|3600|Face
532|Leprechaun Hat|999|NoSeed, Dropless|Clothing|51AA14|EEE10E|0|3600|Hat
534|Green Pants|999|NoSeed, Dropless|Clothing|51AA14|EEE10E|0|3600|Pants
536|Leprechaun Suit|999|NoSeed, Dropless|Clothing|51AA14|EEE10E|0|3600|Shirt
538|Leprechaun Shoes|999|NoSeed, Dropless|Clothing|51AA14|EEE10E|0|3600|Feet
540|Green Beer|999|NoSeed, Dropless|Consummable|53B511|70F317|3|3600|None
542|Pot O' Gold|200|MultiFacing, NoSeed, Dropless, Foreground|Treasure|3D3D3D|FFF00B|10|8006000|None
544|Orange Portal|78|Wrenchable, NoShadow|Portal|FF720B|FFC827|5|476892|None
546|Blue Portal|84|Wrenchable, NoShadow|Portal|27E1FF|0B64FF|5|595224|None
548|Glass Block|7|0|Foreground_Block|86D7EC|FFFFFF|3|553|None
550|Bookcase|42|MultiFacing|Platform|855F3D|4188BB|4|75348|None
552|Secret Passage|15|MultiFacing, Wrenchable|Gateway|AE763A|F8C78E|5|3825|None
554|Ladder|26|0|Platform|83531F|F6C289|4|18356|None
556|Grey Wallpaper|42|0|Background_Block|B3B3B3|BEBEBE|3|75348|None
558|Red Wallpaper|42|0|Background_Block|DB2B23|DF3D35|3|75348|None
560|Orange Wallpaper|47|0|Background_Block|BC6200|CF740C|3|105233|None
562|Yellow Wallpaper|44|0|Background_Block|D0BF08|DBD11A|3|86504|None
564|Green Wallpaper|43|0|Background_Block|539F0C|65B11E|3|80797|None
566|Aqua Wallpaper|43|0|Background_Block|0CA082|1EB294|3|80797|None
568|Blue Wallpaper|53|0|Background_Block|277EE1|3990E1|3|150467|None
570|Purple Wallpaper|57|0|Background_Block|AF52E1|C164E1|3|186903|None
572|Phonecats Hat|999|NoSeed, Dropless|Clothing|808080|404040|0|3600|Hat
574|Turtle Hat|999|NoSeed, Dropless|Clothing|27B747|85B82A|0|3600|Hat
576|Baneful Mask|58|NoSeed|Clothing|5D5D5D|CAC9C1|0|196852|Face
578|Rollback Plaque|1|NoSeed|Foreground_Block|E5CE33|AC9A24|10|31|None
580|Happy Joy Plaque|3|0|Foreground_Block|B7D8AB|528B3E|4|117|None
582|Wizard Hat|65|NoSeed, RandomGrow|Clothing|55159B|1CDB26|0|276575|Hat
584|Witch Hat|65|NoSeed, RandomGrow|Clothing|55159B|1CDB26|0|276575|Hat
586|Merlin Hat|65|NoSeed, RandomGrow|Clothing|55159B|1CDB26|0|276575|Hat
588|Funk Wizard Hat|65|NoSeed, RandomGrow|Clothing|55159B|1CDB26|0|276575|Hat
590|Cursed Wizard Hat|65|NoSeed, RandomGrow|Clothing|55159B|1CDB26|0|276575|Hat
592|Tiny Horsie|999|NoSeed, Dropless|Clothing|795E41|9C9C9C|0|3600|Feet
594|Elvish Longbow|39|NoSeed, NoSelf|Clothing|92754C|EBEBEB|0|60489|Hand
596|Treasure Chest|55|MultiFacing|Chest|B78249|FFF115|10|168025|None
598|Dragon Gate|57|Wrenchable|Switch_Block|E4E4E4|FF2727|15|186903|None
600|Wizard's Robe|60|NoSeed|Clothing|9940C6|F9EDFF|0|217800|Shirt
602|GrowBeats Headphones|69|NoSeed, Foreground|Clothing|292830|C13E43|0|330579|Face
604|Golden Sword|58|NoSeed|Clothing|FFE827|3FC5CB|0|196852|Hand
606|Barrel|11|0|Foreground_Block|8E5423|C2C2C2|3|1661|None
608|Tavern Sign|85|Wrenchable|Sign|B78249|FFF115|5|616675|None
610|Bunny Egg|1|NoSeed, Dropless|Magic_Egg|BDF7FA|FEEAD5|8|31|None
612|Lattice Background|15|0|Background_Block|B78249|9F7243|3|3825|None
614|Rotten Egg|6|NoSeed, Dropless|Consummable|E0E9D9|A5C18D|3|396|None
616|Cuddly Bunny|41|NoSeed, Dropless, RandomGrow|Consummable|FFFFFF|EFA7EF|3|70151|None
618|Psychotic Bunny|41|NoSeed, Dropless, RandomGrow|Consummable|FFFFFF|EFA7EF|3|70151|None
620|Copper Plumbing|27|0|Background_Block|B58223|D69F35|6|20493|None
622|Steel Girder|50|0|Platform|888888|B0B0B0|3|126500|None
624|Pinball Sproinger|56|0|Trampoline_Block|4BA7FF|FFE433|3|177296|None
626|Tangram Block A|15|RandomGrow|Foreground_Block|000000|FFFFFF|7|3825|None
628|Tangram Block B|15|RandomGrow|Foreground_Block|000000|FFFFFF|7|3825|None
630|Tangram Block C|15|RandomGrow|Foreground_Block|000000|FFFFFF|7|3825|None
632|Tangram Block D|15|RandomGrow|Foreground_Block|000000|FFFFFF|7|3825|None
