/////////////////////
// FISHING REWARDS //
/////////////////////

//ID|FISHING|MAX LB (0 for non fish)|Baits/Description

// Winter Gift
// Gingerbread Fish
3224|FISHING|150|Candy Cane Bait

// Swedish Fish
3226|FISHING|180|Candy Cane Bait

// Rainbowfish
3434|FISHING|150|Catch-of-the-Day Bait

// Totally Legit Bunnyfish
3436|FISHING|150|Catch-of-the-Day Bait

// Seahorse
3438|FISHING|150|Catch-of-the-Day Bait

// Mutant Fish
3440|FISHING|150|Catch-of-the-Day Bait

// Lobster Trap
3448|FISHING|0|Salmon Eggs, Fishing Fly, Shrimp Lure

// Picasso Trigger Fish
3544|FISHING|150|Catch-of-the-Day Bait

// Axolotl
3550|FISHING|150|Catch-of-the-Day Bait during Cinco De Mayo

// Pineapple Fish
3620|FISHING|150|Catch-of-the-Day Bait during Super Pineapple Week

// Firefin
3746|FISHING|150|Catch-of-the-Day Bait during Summerfest

// Fish Wall Mount
3810|FISHING|200|Salmon Eggs, Fishing Fly, Shrimp Lure

// Stonefish
3814|FISHING|160|Salmon Eggs, Fishing Fly, Whizmo Gizmo with Dark Cave background on water

// Orca
3820|FISHING|150|Catch-of-the-Day Bait

// Sandshark
4958|FISHING|200|Shrimp Lure, Whizmo Gizmo

// Koi Fish
5100|FISHING|150|Catch-of-the-Day Bait

// Lobster
3450|FISHING|150|Lobster Trap

// Purple Shore Crab
3452|FISHING|100|Lobster Trap

// Alaskan
3454|FISHING|200|Lobster Trap

// Dungeonist
3456|FISHING|100|Lobster Trap

// Crowdad
3458|FISHING|50|Lobster Trap

// Hermit
3460|FISHING|200|Lobster Trap

// Mermaid Tail
3464|FISHING|0|Lobster Trap

// Octopus
3812|FISHING|0|Lobster Trap

// Pet Frog
4760|FISHING|0|Lobster Trap

// Mr. Narwhal
5448|FISHING|200|Candy Cane Bait

// Glass Piglet
5450|FISHING|200|Candy Cane Bait

// Maidmare
5538|FISHING|160|Uranium Glowing Bait in irradiated water (Uranium Block + Nuclear Detonator)

// Double-Headed Angel-Devil Fish
5544|FISHING|60|Uranium Glowing Bait in irradiated water (Uranium Block + Nuclear Detonator)

// Absolutely Real Elephant Fish
5548|FISHING|60|Mega-Pellet Bait in ice water (Ice Crust Block + Hand Drill)

// Cuttlefish
5552|FISHING|160|Mega-Pellet Bait in ice water (Ice Crust Block + Hand Drill)

// Alpha Great White Shark
5574|FISHING|190|Mega-Pellet Bait in ice water (Ice Crust Block + Hand Drill)

// Weird Manta Ray
5580|FISHING|190|Uranium Glowing Bait in irradiated water (Uranium Block + Nuclear Detonator)

// Ice Crust Block
5602|FISHING|0|Mega-Pellet Bait in ice water (Ice Crust Block + Hand Drill)

// Tentacle Beard
5612|FISHING|0|Mega-Pellet Bait in ice water (Ice Crust Block + Hand Drill)

// Puffer Fish Block
5614|FISHING|0|Mega-Pellet Bait in ice water (Ice Crust Block + Hand Drill)

// Queen Conch Sheel
5616|FISHING|0|Mega-Pellet Bait in ice water (Ice Crust Block + Hand Drill)

// Davy Jones' Chest
5618|FISHING|0|Mega-Pellet Bait in ice water (Ice Crust Block + Hand Drill)

// Fancy Fish Wall Mount
5624|FISHING|0|Mega-Pellet Bait in ice water (Ice Crust Block + Hand Drill)

// Radiation Block
5620|FISHING|0|Uranium Glowing Bait in irradiated water (Uranium Block + Nuclear Detonator)

// Radiation Sign
5622|FISHING|0|Uranium Glowing Bait in irradiated water (Uranium Block + Nuclear Detonator)

// Aqua Cave Crystal
3584|FISHING|0|Uranium Glowing Bait in irradiated water (Uranium Block + Nuclear Detonator)
